Bahamas Is - Mobile,"1242357, 1242359, 1242375, 1242395, 1242421, 1242422, 1242423, 1242424, 1242425, 1242426, 1242427, 1242428, 1242429, 1242431, 1242432, 1242433, 1242434, 1242435, 1242436, 1242437, 1242438, 1242439, 1242441, 1242442, 1242443, 1242445, 1242446, 1242447, 1242448, 1242449, 1242451, 1242452, 1242453, 1242454, 1242455, 1242456, 1242457, 1242458, 1242462, 1242463, 1242464, 1242465, 1242466, 1242467, 1242468, 124247, 1242524, 1242525, 1242533, 1242535, 1242544, 1242551, 1242552, 1242553, 1242554, 1242556, 1242557, 1242558, 1242559, 1242565, 1242577, 1242636, 1242646, 1242727",0.0112
Bahrain - Fixed,973,0.0112
Bahrain - Mobile,"9733, 97377, 9739",0.0112
Bangladesh - Fixed,880,0.0112
Bangladesh - Chittagong,88031,0.0112
Bangladesh - Dhaka,8802,0.0112
Bangladesh - Syhlet,880821,0.0112
Bangladesh - Mobile,8801,0.0112
Barbados - Fixed,1246,0.0112
Barbados - Mobile (C&w),"124623, 124624, 124625, 1246446, 1246447, 1246448, 1246449, 124645, 124652",0.0112
Barbados - Mobile (Digicel),"1246256, 1246257, 1246258, 1246259, 124626, 124682, 124683, 124684, 124685",0.0112
Belarus - Fixed,375,0.0112
Belarus - Mobile,37529,0.0112
Belarus - Mobile (Best),"375256, 375259",0.0112
Belarus - Mobile (Mts),"375292, 375295, 375297, 375298, 37533",0.0112
Belarus - Mobile (Velcom),"375291, 375293, 375296, 375299, 37544",0.0112
Belgium - Fixed,32,0.0112
Belgium - Mobile,3245,0.0112
Belgium - Mobile (Base),3248,0.0112
Belgium - Mobile (Mobistar),3249,0.0112
Belgium - Mobile (Proximus),3247,0.0112
Belgium - Mobile (Special),3270,0.0112
Belize - Fixed,501,0.0112
Belize - Belize City,5012,0.0112
Belize - Mobile,5016,0.0112
Benin - Fixed,229,0.0112
Benin - Mobile,2299,0.0112
Benin - Mobile (Globacom),"22968, 22998, 22999",0.0112
Benin - Mobile (Libercom),22990,0.0112
Benin - Mobile (Moov),"22964, 22994, 22995",0.0112
Benin - Mobile (Mtn),"22966, 22967, 22996, 22997",0.0112
Bermuda - Fixed,1441,0.0112
Bermuda - Mobile,"14413, 14415, 14417",0.0112
Bhutan - Fixed,975,0.0112
Bhutan - Mobile,97517,0.0112
Bolivia - Fixed,591,0.0112
Bolivia - Cachabamba,59144,0.0112
Bolivia - Lapaz,59122,0.0112
Bolivia - Santa Cruz,59133,0.0112
Bolivia - Mobile,"5916, 5917",0.0112
Bolivia - Mobile (Entel),"59167, 59168, 59171, 59172, 59173, 59174",0.0112
Bolivia - Mobile (Nuevatel),"59160, 59161, 59165, 59170, 59179",0.0112
Bolivia - Mobile (Telecel),"59175, 59176, 59177, 59178",0.0112
Bosnia & Herzegovina - Fixed,387,0.0112
Bosnia & Herzegovina - Mobile,3876,0.0112
Bosnia & Herzegovina - Mobile (Bht),"3876031, 38761, 38762",0.0112
Bosnia & Herzegovina - Mobile (Mostar),38763,0.0112
Bosnia & Herzegovina - Mobile (Srpske),"38765, 38766",0.0112
Botswana - Fixed,267,0.0112
Botswana - Mobile,2677,0.0112
Botswana - Mobile (Btc),26773,0.0112
Botswana - Mobile (Mascom),"26771, 267740, 267741, 267742, 267745, 267746, 267747, 267754, 267755, 267756, 267759, 267760, 267761, 267762, 267766, 267767",0.0112
Botswana - Mobile (Orange),"26772, 267743, 267744, 267750, 267751, 267752, 267753, 267763, 267764, 267765",0.0112
Brazil - Fixed,55,0.0112
Brazil - Belem,5591,0.0112
Brazil - Belo Horizonte,5531,0.0112
Brazil - Brasilia,5561,0.0112
Brazil - Campinas,"55190, 55191, 55192, 55193, 55194, 55195",0.0112
Brazil - Curitiba,5541,0.0112
Brazil - Florianopolis,5548,0.0112
Brazil - Fortaleza,5585,0.0112
Brazil - Goiania,5562,0.0112
Brazil - Governador Valadares Off Net,5533,0.0112
Brazil - Governador Valadares On Net,"553321, 553330, 553331, 5533320, 5533321, 5533322, 55333230, 55333231, 55333232, 55333233, 55333234, 55333236, 55333240, 55333241, 55333243, 55333244, 55333245, 55333246, 55333247, 55333251, 55333253, 55333254, 55333260, 55333261, 55333262, 55333263, 55333267, 55333268, 5533327, 5533328, 55333296, 55333298, 55333299, 55333312, 55333313, 55333314, 55333315, 55333318, 55333321, 55333322, 55333323, 55333327, 55333329, 55333331, 55333332, 55333333, 55333334, 55333339, 55333341, 55333344, 55333351, 55333355, 55333356, 55333357, 55333378, 55333412, 55333414, 55333416, 55333421, 55333422, 55333423, 55333429, 55333431, 55333436, 55333511, 55333514, 55333516, 55333517, 55333521, 55333522, 55333523, 55333525, 55333526, 55333528, 55333529, 55333533, 55333534, 55333536, 55333582, 55333583, 5533361, 55333621, 55333622, 55333624, 5533370, 5533371, 55333721, 55333729, 55333731, 55333734, 55333736, 55333737, 55333738, 55333739, 55333741, 55333745, 55333751, 55333753, 5533376, 5533379, 553340, 553342, 553344, 553345, 553346, 553347",0.0112
Brazil - Londrina,5543,0.0112
Brazil - Manaus,5592,0.0112
Brazil - Maringa,5544,0.0112
Brazil - Porto Allegre,5551,0.0112
Brazil - Recife,5581,0.0112
Brazil - Rio De Janeiro,5521,0.0112
Brazil - Salvador,5571,0.0112
Brazil - Sao Paulo,"55110, 55111, 55112, 55113, 55114, 55115",0.0112
Brazil - Sao Paulo State,"55120, 55121, 55122, 55123, 55124, 55125, 55130, 55131, 55132, 55133, 55134, 55135, 55140, 55141, 55142, 55143, 55144, 55145, 55151, 55152, 55153, 55154, 55155, 55160, 55161, 55162, 55163, 55164, 55165, 55170, 55171, 55172, 55173, 55174, 55175, 55180, 55181, 55182, 55183, 55184, 55185",0.0112
Brazil - Telemar,"5522, 5524, 5528, 5532, 5534, 5535, 5537, 5538, 5573, 5574, 5575, 5577, 5579, 5582, 5583, 5584, 5586, 5587, 5588, 5589, 5593, 5594, 5595, 5596, 5597, 5598, 5599",0.0112
Brazil - Vitoria,5527,0.0112
Brazil - Vitoria On Net,"552721, 552727, 552730, 552731, 5527320, 5527321, 5527322, 5527323, 5527324, 5527325, 55273260, 55273261, 55273262, 55273263, 55273264, 55273267, 55273268, 5527327, 5527328, 5527329, 5527330, 5527331, 5527332, 5527333, 5527334, 5527335, 55273361, 55273362, 55273364, 55273366, 55273369, 5527337, 5527338, 5527339, 552734, 5527370, 5527371, 55273721, 55273722, 55273723, 55273725, 55273726, 55273727, 55273729, 55273730, 55273731, 55273732, 55273735, 55273740, 55273742, 55273743, 55273744, 55273746, 55273750, 55273752, 55273754, 55273755, 55273756, 55273758, 55273759, 55273760, 55273761, 55273762, 55273763, 55273764, 55273765, 55273766, 55273767, 55273768, 5527377, 55273791, 55273793, 552740, 552744",0.0112
